,company,url,label
42,nirav modi,https://www.financialexpress.com/lifestyle/scam-report-a-revelation-on-how-white-collar-crimes-happen-and-why/2112984/,fraud
43,nirav modi,https://www.financialexpress.com/lifestyle/scam-report-a-revelation-on-how-white-collar-crimes-happen-and-why/2112984/,fraud
44,nirav modi,https://www.businesstoday.in/current/economy-politics/bjp-govt-waived-rs-68607-crore-of-bank-loan-defaulters-alleges-congress/story/402270.html,corruption
45,nirav modi,https://www.businesstoday.in/current/economy-politics/bjp-govt-waived-rs-68607-crore-of-bank-loan-defaulters-alleges-congress/story/402270.html,corruption
46,nirav modi,https://www.deccanchronicle.com/business/companies/141219/nirav-modi-scam-hits-rough-diamonds.html,corruption
47,nirav modi,https://www.deccanchronicle.com/business/companies/141219/nirav-modi-scam-hits-rough-diamonds.html,corruption
48,nirav modi,https://theprint.in/opinion/pov/dont-look-at-netflixs-bad-boy-billionaires-for-closure-love-hate-relationship-will-go-on/521117/,corruption
49,nirav modi,https://theprint.in/opinion/pov/dont-look-at-netflixs-bad-boy-billionaires-for-closure-love-hate-relationship-will-go-on/521117/,corruption
50,nirav modi,https://thewire.in/film/bad-boy-billionaires-review-netflix-vijay-mallya-nirav-modi,corruption
51,nirav modi,https://thewire.in/film/bad-boy-billionaires-review-netflix-vijay-mallya-nirav-modi,corruption
52,nirav modi,https://www.india.com/business/pnb-manager-middleman-held-for-demanding-rs-1-lakh-bribe-over-purchase-of-buffaloes-cbi-3782385/,corruption
53,nirav modi,https://www.india.com/business/pnb-manager-middleman-held-for-demanding-rs-1-lakh-bribe-over-purchase-of-buffaloes-cbi-3782385/,corruption
54,nirav modi,https://www.businesstoday.in/current/economy-politics/pnb-fraud-eight-more-nirav-modi-aides-on-the-run/story/279600.html,fraud
55,nirav modi,https://www.businesstoday.in/current/economy-politics/pnb-fraud-eight-more-nirav-modi-aides-on-the-run/story/279600.html,fraud
56,nirav modi,https://www.bloomberg.com/news/features/2018-06-28/did-this-jeweler-to-the-stars-commit-the-biggest-bank-fraud-in-india-s-history,fraud
57,nirav modi,https://www.bloomberg.com/news/features/2018-06-28/did-this-jeweler-to-the-stars-commit-the-biggest-bank-fraud-in-india-s-history,fraud
58,nirav modi,https://www.businesstoday.in/current/economy-politics/pnb-bank-scam-cbi-to-file-fresh-charges-in-2-billion-bank-fraud/story/390423.html,corruption
59,nirav modi,https://www.businesstoday.in/current/economy-politics/pnb-bank-scam-cbi-to-file-fresh-charges-in-2-billion-bank-fraud/story/390423.html,corruption
60,nirav modi,https://theprint.in/india/4-bad-boy-billionaires-where-to-find-them-what-netflix-on-mallya-modi-roy-raju-reveals/496463/,corruption
61,nirav modi,https://theprint.in/india/4-bad-boy-billionaires-where-to-find-them-what-netflix-on-mallya-modi-roy-raju-reveals/496463/,corruption
62,nirav modi,https://www.indiatoday.in/india/story/ntpc-manager-takes-bribe-for-clearing-dues-of-contractor-caught-red-handed-by-cbi-1701372-2020-07-17,corruption
63,nirav modi,https://www.indiatoday.in/india/story/ntpc-manager-takes-bribe-for-clearing-dues-of-contractor-caught-red-handed-by-cbi-1701372-2020-07-17,corruption
64,nirav modi,https://www.livemint.com/politics/news/nirav-modi-appears-before-uk-court-for-his-second-bail-hearing-1553864946219.html,corruption
65,nirav modi,https://www.livemint.com/politics/news/nirav-modi-appears-before-uk-court-for-his-second-bail-hearing-1553864946219.html,corruption
66,nirav modi,https://www.businesstoday.in/trending/entertainment/bad-boy-billionaires-india-netflix-show-looks-into-mallya-nirav-modi-subrata-roy-ramalinga-raju-transgressions/story/414129.html,fraud
67,nirav modi,https://www.businesstoday.in/trending/entertainment/bad-boy-billionaires-india-netflix-show-looks-into-mallya-nirav-modi-subrata-roy-ramalinga-raju-transgressions/story/414129.html,fraud
